experiencia,tipoDeCultivador,educacionAlRespecto,plantasEnRotacionNro,tipoDeSimulacion,numeroDePlantas,ambienteDeCultivo,medioDeCultivo,metodoDeCultivo,geneticaSlug,user_id,cultivador_rating,lat,lon,DLITotal,DLIGerminacionClonacion,DLIPlantin,DLIVegetativo,DLIPreFloracion,DLIFloracion,haceGerminacion_True,geneticaPheno_Hybrid,geneticaPheno_Indica,geneticaPheno_Sativa,geneticaPhoto_Auto,geneticaPhoto_Hybrid,geneticaPhoto_Photoperiod,dias_germinacion_clonacion,dias_plantin,dias_vegetativo,dias_prefloracion,dias_floracion,total_dias_cultivo,yield_Alta,yield_Baja,yield_Media
4,1,2,10,1,7,Indoor,Sustrato,"ScrOG, ScrOG",berry-white,2,0.5800000000000001,-42.7729674,-65.0366104,3263.0,60.0,224.0,995.0,315.0,1669.0,1,1,0,0,1,0,0,5.0,14.0,28.0,7.0,42.0,96.0,0,1,0
4,1,2,10,1,4,Indoor,LivingSoil,"SOG, GreenHouses",super-lemon-haze,2,0.5800000000000001,-42.7729674,-65.0366104,4700.0,120.0,336.0,1780.0,426.0,2038.0,1,0,0,1,0,0,1,10.0,21.0,56.0,14.0,56.0,157.0,1,0,0
4,1,2,10,1,5,Indoor,LivingSoil,"SuperCropping, SuperCropping",orange-kush,2,0.5800000000000001,-42.7729674,-65.0366104,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,0,1,0,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,1,0,0
4,1,2,10,1,5,Indoor,LivingSoil,"SuperCropping, SuperCropping",moby-dick,2,0.5800000000000001,-42.7729674,-65.0366104,4700.0,120.0,336.0,1780.0,426.0,2038.0,1,0,0,1,0,0,1,10.0,21.0,56.0,14.0,56.0,157.0,1,0,0
4,1,2,10,1,5,Indoor,LivingSoil,"SuperCropping, SuperCropping",white-widow,2,0.5800000000000001,-42.7729674,-65.0366104,4700.0,120.0,336.0,1780.0,426.0,2038.0,1,1,0,0,0,0,1,10.0,21.0,56.0,14.0,56.0,157.0,0,0,1
4,1,2,10,1,5,Indoor,LivingSoil,"SuperCropping, SuperCropping",punto-rojo-tierra-adentro,2,0.5800000000000001,-42.7729674,-65.0366104,5004.5,120.0,336.0,1890.0,528.0,2130.5,1,0,0,1,0,1,0,10.0,21.0,56.0,14.0,56.0,157.0,1,0,0
4,1,2,10,1,5,Indoor,LivingSoil,"SuperCropping, SuperCropping",quasar,2,0.5800000000000001,-42.7729674,-65.0366104,4266.0,96.0,272.0,1500.0,450.0,1948.0,1,1,0,0,1,0,0,8.0,17.0,42.0,10.0,49.0,126.0,0,0,1
4,1,2,10,1,3,Indoor,Sustrato,"ScrOG, ScrOG",buddha-og-kush,2,0.5800000000000001,25.9426915,-80.1218486,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,1,0,0,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,0,0,1
4,1,2,10,1,4,Indoor,Hidroponia,DWC,amnesia-lemon-haze,2,0.5800000000000001,-33.6745795,-65.4617562,3263.0,60.0,224.0,995.0,315.0,1669.0,1,0,0,1,1,0,0,5.0,14.0,28.0,7.0,42.0,96.0,1,0,0
4,1,2,10,1,4,Indoor,Sustrato,"ScrOG, SOG, SOG, ToppingAndFimming",punto-rojo-tierra-adentro,2,0.5800000000000001,-34.666667,-54.916667,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,0,0,1,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,0,0,1
4,1,2,10,1,4,Indoor,Sustrato,"ScrOG, SOG, SOG, ToppingAndFimming",buddha-og-kush,2,0.5800000000000001,-34.666667,-54.916667,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,1,0,0,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,0,0,1
4,1,2,10,1,4,Indoor,Sustrato,"ScrOG, SOG, SOG, ToppingAndFimming",berry-white,2,0.5800000000000001,-34.666667,-54.916667,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,1,0,0,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,0,0,1
4,1,2,10,1,4,Indoor,Sustrato,"ScrOG, SOG, SOG, ToppingAndFimming",critical,2,0.5800000000000001,-34.666667,-54.916667,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,1,0,0,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,0,0,1
4,1,2,10,1,4,Indoor,Sustrato,ScrOG,critical,2,0.5800000000000001,-33.6745795,-65.4617562,3430.5,60.0,64.0,985.0,263.5,2058.0,1,1,0,0,0,1,0,5.0,4.0,29.0,7.0,54.0,99.0,0,1,0
4,1,2,10,1,4,Indoor,Sustrato,ScrOG,moby-dick,2,0.5800000000000001,-33.6745795,-65.4617562,3241.0,60.0,64.0,935.0,212.0,1970.0,1,0,0,1,0,0,1,5.0,4.0,29.0,7.0,54.0,99.0,0,1,0
4,1,2,10,1,4,Indoor,Sustrato,ScrOG,gorilla-blue,2,0.5800000000000001,-33.6745795,-65.4617562,3430.5,60.0,64.0,985.0,263.5,2058.0,1,1,0,0,0,1,0,5.0,4.0,29.0,7.0,54.0,99.0,0,1,0
4,1,2,10,1,4,Indoor,Sustrato,ScrOG,berry-white,2,0.5800000000000001,-33.6745795,-65.4617562,3430.5,60.0,64.0,985.0,263.5,2058.0,1,1,0,0,0,1,0,5.0,4.0,29.0,7.0,54.0,99.0,0,1,0
5,2,1,150,1,200,Indoor,Sustrato,"ScrOG, SOG, ToppingAndFimming, ToppingAndFimming",critical,3,0.8333333333333334,-34.666667,-54.916667,3572.0,120.0,336.0,1780.0,426.0,910.0,1,1,0,0,0,0,1,10.0,21.0,56.0,14.0,25.0,126.0,1,0,0
5,2,1,150,1,200,Indoor,Sustrato,"ScrOG, SOG, ToppingAndFimming, ToppingAndFimming",blue-gelato,3,0.8333333333333334,-34.666667,-54.916667,2893.0,96.0,272.0,1420.0,377.0,728.0,1,1,0,0,0,1,0,8.0,17.0,42.0,10.0,19.0,96.0,1,0,0
6,1,2,6,1,3,Indoor,Sustrato,"SOG, SOG",moby-dick,4,0.708,-42.7729674,-65.0366104,2035.0,60.0,224.0,995.0,315.0,441.0,1,0,0,1,1,0,0,5.0,14.0,28.0,7.0,11.0,65.0,0,0,1
2,1,1,9,1,4,Indoor,Sustrato,"SOG, ScrOG, ScrOG",punto-rojo-tierra-adentro,5,0.3453333333333334,-33.6745795,-65.4617562,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,0,0,1,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,1,0,0
2,1,1,9,1,4,Indoor,Sustrato,"SOG, ScrOG, ScrOG",buddha-og-kush,5,0.3453333333333334,-33.6745795,-65.4617562,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,1,0,0,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,1,0,0
2,1,1,9,1,4,Indoor,Sustrato,"SOG, ScrOG, ScrOG",amnesia-lemon-haze,5,0.3453333333333334,-33.6745795,-65.4617562,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,0,0,1,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,0,0,1
2,1,1,9,1,4,Indoor,Sustrato,"SOG, ScrOG, ScrOG",blue-gelato,5,0.3453333333333334,-33.6745795,-65.4617562,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,1,0,0,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,0,0,1
2,1,1,9,1,4,Indoor,Sustrato,"ScrOG, SOG, ToppingAndFimming",gelato-mimosa,5,0.3453333333333334,-42.7729674,-65.0366104,3800.0,96.0,272.0,1340.0,304.0,1788.0,1,1,0,0,0,0,1,8.0,17.0,42.0,10.0,49.0,126.0,1,0,0
2,1,1,9,1,4,Indoor,Sustrato,"ScrOG, SOG, ToppingAndFimming",gorilla-blue,5,0.3453333333333334,-42.7729674,-65.0366104,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,1,0,0,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,1,0,0
2,1,1,9,1,4,Indoor,Sustrato,"ScrOG, SOG, ToppingAndFimming",berry-white,5,0.3453333333333334,-42.7729674,-65.0366104,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,1,0,0,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,1,0,0
2,1,1,9,1,4,Indoor,Sustrato,"ScrOG, SOG, ToppingAndFimming",orange-kush,5,0.3453333333333334,-42.7729674,-65.0366104,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,0,1,0,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,1,0,0
2,1,1,9,1,4,Indoor,Sustrato,"ScrOG, ScrOG, SOG, SOG, ToppingAndFimming, ToppingAndFimming",purple-1,5,0.3453333333333334,-34.666667,-54.916667,5004.5,120.0,336.0,1890.0,528.0,2130.5,1,1,0,0,0,1,0,10.0,21.0,56.0,14.0,56.0,157.0,0,0,1
2,1,1,9,1,4,Indoor,Sustrato,"ScrOG, ScrOG, SOG, SOG, ToppingAndFimming, ToppingAndFimming",quasar,5,0.3453333333333334,-34.666667,-54.916667,4266.0,96.0,272.0,1500.0,450.0,1948.0,1,1,0,0,1,0,0,8.0,17.0,42.0,10.0,49.0,126.0,0,0,1
2,1,1,9,1,4,Indoor,Sustrato,"ScrOG, ScrOG, SOG, SOG, ToppingAndFimming, ToppingAndFimming",amnesia-lemon-haze,5,0.3453333333333334,-34.666667,-54.916667,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,0,0,1,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,0,0,1
2,1,1,9,1,4,Indoor,Sustrato,"ScrOG, ScrOG, SOG, SOG, ToppingAndFimming, ToppingAndFimming",gelato-mimosa,5,0.3453333333333334,-34.666667,-54.916667,4700.0,120.0,336.0,1780.0,426.0,2038.0,1,1,0,0,0,0,1,10.0,21.0,56.0,14.0,56.0,157.0,0,0,1
2,1,1,9,1,4,Indoor,Sustrato,"SOG, SOG, ScrOG, ScrOG",moby-dick,5,0.3453333333333334,-42.7729674,-65.0366104,5906.0,120.0,336.0,1780.0,426.0,3244.0,1,0,0,1,0,0,1,10.0,21.0,56.0,14.0,89.0,190.0,1,0,0
2,1,1,9,1,4,Indoor,Sustrato,"SOG, SOG, ScrOG, ScrOG",orange-kush,5,0.3453333333333334,-42.7729674,-65.0366104,2513.0,96.0,272.0,1420.0,377.0,348.0,1,0,1,0,0,1,0,8.0,17.0,42.0,10.0,9.0,86.0,0,1,0
2,1,1,9,1,4,Indoor,Sustrato,"SOG, SOG, ScrOG, ScrOG",blue-gelato,5,0.3453333333333334,-42.7729674,-65.0366104,2513.0,96.0,272.0,1420.0,377.0,348.0,1,1,0,0,0,1,0,8.0,17.0,42.0,10.0,9.0,86.0,0,1,0
2,1,1,9,1,4,Indoor,Sustrato,"SOG, SOG, ScrOG, ScrOG",citrix,5,0.3453333333333334,-42.7729674,-65.0366104,2513.0,96.0,272.0,1420.0,377.0,348.0,1,1,0,0,0,1,0,8.0,17.0,42.0,10.0,9.0,86.0,0,1,0
2,1,1,9,1,4,Indoor,Sustrato,"ScrOG, SOG, SOG",white-widow,5,0.3453333333333334,-33.6745795,-65.4617562,2662.0,120.0,336.0,1780.0,426.0,0.0,1,1,0,0,0,0,1,10.0,21.0,56.0,14.0,-17.0,84.0,0,1,0
2,1,1,9,1,4,Indoor,Sustrato,"ScrOG, SOG, SOG",super-lemon-haze,5,0.3453333333333334,-33.6745795,-65.4617562,2662.0,120.0,336.0,1780.0,426.0,0.0,1,0,0,1,0,0,1,10.0,21.0,56.0,14.0,-17.0,84.0,0,1,0
2,1,1,9,1,4,Indoor,Sustrato,"ScrOG, SOG, SOG",orange-kush,5,0.3453333333333334,-33.6745795,-65.4617562,2874.0,120.0,336.0,1890.0,528.0,0.0,1,0,1,0,0,1,0,10.0,21.0,56.0,14.0,-17.0,84.0,0,1,0
2,1,1,9,1,4,Indoor,Sustrato,"ScrOG, SOG, SOG",gorilla-blue,5,0.3453333333333334,-33.6745795,-65.4617562,2874.0,120.0,336.0,1890.0,528.0,0.0,1,1,0,0,0,1,0,10.0,21.0,56.0,14.0,-17.0,84.0,0,1,0
2,1,0,9,1,4,Indoor,Sustrato,"ScrOG, ScrOG",super-lemon-haze,6,0.24533333333333335,-43.2531242,-65.3094407,4700.0,120.0,336.0,1780.0,426.0,2038.0,1,0,0,1,0,0,1,10.0,21.0,56.0,14.0,56.0,157.0,1,0,0
2,1,0,9,1,4,Indoor,Sustrato,"ScrOG, ScrOG",critical,6,0.24533333333333335,-43.2531242,-65.3094407,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,1,0,0,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,0,0,1
2,1,0,9,1,4,Indoor,Sustrato,"ScrOG, ScrOG",citrix,6,0.24533333333333335,-43.2531242,-65.3094407,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,1,0,0,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,0,0,1
2,1,0,9,1,4,Indoor,Sustrato,"ScrOG, ScrOG",purple-1,6,0.24533333333333335,-43.2531242,-65.3094407,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,1,0,0,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,0,0,1
2,1,0,9,1,2,Indoor,Sustrato,"ScrOG, ScrOG, SOG, SOG",quasar,6,0.24533333333333335,-43.2995252,-65.1055636,3263.0,60.0,224.0,995.0,315.0,1669.0,1,1,0,0,1,0,0,5.0,14.0,28.0,7.0,42.0,96.0,0,0,1
2,1,0,9,1,2,Indoor,Sustrato,"ScrOG, ScrOG, SOG, SOG",white-widow,6,0.24533333333333335,-43.2995252,-65.1055636,2923.0,60.0,224.0,895.0,212.0,1532.0,1,1,0,0,0,0,1,5.0,14.0,28.0,7.0,42.0,96.0,0,0,1
2,1,0,9,1,1,Indoor,Sustrato,ScrOG,amnesia-lemon-haze,6,0.24533333333333335,-43.2531242,-65.3094407,3365.0,60.0,64.0,1720.0,340.5,1180.5,1,0,0,1,0,1,0,5.0,4.0,51.0,9.0,31.0,100.0,0,1,0
2,1,0,9,1,1,Indoor,Sustrato,"SOG, ToppingAndFimming",blue-gelato,6,0.24533333333333335,-33.3020736,-66.3369577,5245.5,96.0,272.0,1420.0,377.0,3080.5,1,1,0,0,0,1,0,8.0,17.0,42.0,10.0,81.0,158.0,1,0,0
